FLOW,exports,exports,exports,exports,exports,exports,imports,imports,imports,imports,imports,imports
TRADE_TYPE,Extra-EU,Extra-EU,Extra-EU,Intra-EU,Intra-EU,Intra-EU,Extra-EU,Extra-EU,Extra-EU,Intra-EU,Intra-EU,Intra-EU
product_type,Capital goods,Consumption goods,Intermediate goods,Capital goods,Consumption goods,Intermediate goods,Capital goods,Consumption goods,Intermediate goods,Capital goods,Consumption goods,Intermediate goods
DECLARANT_ISO,,,,,,,,,,,,
AT,2.9687803889017177,2.210968066734078,2.6314201744866836,4.046892054452043,2.8260443380940656,3.98413673974565,2.688598420962178,1.7207120337161874,2.076237690176694,4.077537015437417,4.106743989310444,4.314597445242264
BE,2.60746045608139,6.298966436762052,7.817184382929747,4.430196278419303,8.34317954535778,9.221895487679237,4.313876287586837,8.05401099200749,7.947521124826271,5.340014262611805,6.861733445295987,8.56384624751801
BG,0.2445703259705181,0.34442953621243166,0.7313600682908854,0.41306287193792374,0.6982044637868097,0.736122982036692,0.36974922625037837,0.4297006268086703,0.9991225001238785,0.6751625471407552,0.7412331224682986,0.6125792023879395
CY,0.19132250808898504,0.09167000300867663,0.03187837075219365,0.03141650106236403,0.05758668384495205,0.013532867462877926,0.1717555142593417,0.2556280110461426,0.08710766280332395,0.15152617028665508,0.23318852298752762,0.11728462353034498
CZ,2.392320288101376,0.7597860502597455,1.5958972001007892,7.09319063806746,3.111375284759728,4.314827675384502,5.782417557930381,1.210833009174221,1.8425736731953055,4.454743641685542,3.3710074542849457,4.316314432951774
DE,37.14541932006038,19.289577857803053,29.863329820882065,25.280781263368954,17.923228787467146,22.742550298815743,22.71566687754881,20.082820164747627,20.749524346066043,20.877861235798335,21.54922910258148,23.607196805250357
DK,1.8728625525282996,4.956262463306574,1.8488378373109307,1.7477924392343456,2.656729546932717,1.3716086636242628,1.1442948099532124,2.628484307976678,1.1398320040983538,2.7144790184374115,2.3804248582536314,1.7853062709636711
EE,0.4358842458054705,0.11418891000628077,0.2797305985195806,0.2771270438544977,0.27190885007121884,0.36921310287291575,0.1189483448750945,0.10376858406990244,0.27237571463145976,0.3815254248179194,0.42846371716374554,0.3582035546724767
ES,2.775720041795193,7.061146251684412,5.383888129472356,3.3013246501451143,7.365479896285643,4.734031533769154,3.4613363467022027,9.460719584146936,7.670287874311119,5.512213275066952,5.780982863163143,5.7323094629747455
FI,2.1893140138224765,0.42362904211423036,1.7666102181228684,1.0547823714507203,0.3385724368937347,1.4241381384635614,0.5370210527381137,0.5825608762603265,1.3231395598434177,1.8119602904192904,1.3222495454430248,1.4584083685129676
