PARTNER_ISO,exports,imports
AO,0.12027078759031479,0.13971987665334756
TG,0.11852273903141242,0.004314768132110395
KE,0.11202247528806603,0.06479650266882912
BH,0.11062161728631306,0.04984057741593274
PA,0.10978808637992604,0.05117520792865842
QP,0.0977444887503483,0.0370235321009415
ET,0.09744642093861548,0.03517883128695602
EC,0.09684061957334465,0.19516245774040328
DO,0.09661270468527712,0.05664974686858862
GE,0.0952376325247217,0.04863909455683402
MH,0.0927022371761994,0.02686112001117868
AZ,0.0911593486671525,0.4070481564370501
CM,0.08671045819585314,0.10605587185410631
CU,0.08593933728141961,0.021781496490273177
AD,0.07878768089107112,0.005453797383376528
UY,0.07278723224425634,0.0700758382212261
XK,0.06922948758173761,0.01008208724247492
LI,0.06717922094705632,0.05782507828196638
ML,0.06660009602166532,0.0020437869878183346
NC,0.05975281252993198,0.0073988730144923815
CR,0.057657956910961594,0.16283826287778055
ME,0.05582282723304553,0.009860022624533692
GN,0.055684659217416846,0.046127373535485586
LK,0.054894015070832254,0.1363224736372891
CD,0.05482955411734259,0.050635007060638816
GT,0.05400279136607658,0.05957097064095871
FO,0.050841364792358866,0.0302317336342932
LR,0.04982484343744073,0.02925402676641608
TZ,0.04917504418790641,0.04028710885703616
MU,0.048337467536880646,0.03343505657423615
BF,0.04779133771919371,0.006766061883873063
SD,0.04752017584731018,0.014891374869197215
MR,0.043712130058436736,0.031386631456862275
GA,0.04363843669689547,0.02185427382252549
MZ,0.04270157211304808,0.07976593654643434
AM,0.04263239785478954,0.02129932222250208
VE,0.042311145281283546,0.045451283164269406
PF,0.04216990863089647,0.001596055698046766
UM,0.040644955281219336,0.0001717089099141667
GL,0.03976189031234327,0.040725648196500805
MO,0.0393251341614066,0.0033441730459172862
KH,0.039086454552144184,0.23641506675943172
YE,0.038169738641709756,0.0033150429860529444
UG,0.03654392400410238,0.027911192275309565
SV,0.03552844790308578,0.010658787777910371
CG,0.035446066687382885,0.04710408358696584
PY,0.03518329592308942,0.02665012746169162
BJ,0.03468073149350353,0.0010464348959879546
MG,0.03208572526292627,0.05522625048586545
CV,0.031122601479237347,0.004775018293044674
MM,0.030511002128685093,0.1658891222853284
TM,0.030352110552988993,0.015877887330355743
VG,0.029819085566456568,0.027533912412864275
BS,0.02870743402125514,0.016993433620903598
TT,0.027066192630226714,0.07868412936672259
BW,0.026589846478172884,0.062342549340163846
MN,0.026351319190840147,0.0033169248221909145
XC,0.024061143841741996,0.0008766292016519052
BO,0.023543467114376205,0.030685549665440993
XL,0.022218528731558482,0.0007953111012071587
HN,0.020412444380719975,0.06939787784891917
NE,0.019956333592761,0.003112056527866778
SY,0.019874077357620198,0.0038897811306741557
GQ,0.01913782937037487,0.049109110286089885
JM,0.018938999235995912,0.008002187135154114
AF,0.01803827886318732,0.0019321254170223121
SR,0.018020017641556495,0.006723555866361531
ZM,0.016591481141793256,0.015401846098589056
CW,0.01643959918677518,0.0017340428042906583
SC,0.016157526314388816,0.013401228654478256
BM,0.014665036740500013,0.011367135270258873
KG,0.01397401263161985,0.006566669144139521
SM,0.013800163293707224,0.004519570379235505
RW,0.013335404018369702,0.0036606405543370153
PS,0.013107505702640944,0.001688018850806309
TD,0.012794698201524925,0.033859673698631985
HT,0.012683348896612195,0.0017929535334702542
DJ,0.011994006730547777,0.0003461143017169181
SL,0.011253868970097579,0.013310927435043737
TJ,0.011138777906298124,0.00552641392442273
NI,0.010054896694991513,0.020266053434775583
AG,0.010054441105245065,0.005798231108387578
AW,0.00965252132662659,0.00023636466371121576
GM,0.009505200773243279,0.00043641227605784136
BN,0.00924326365143531,0.00041144172625859647
ZW,0.008862467262992653,0.025522389099994738
GY,0.008547417590251205,0.014819149902777997
SO,0.008179355937339743,0.0011637874701374863
LA,0.00814401270273239,0.019599484549939313
NP,0.007590439810957975,0.003519317237361558
GW,0.007006185357834746,0.0002478703657505154
BB,0.0069766401683367596,0.0014226699019253277
MV,0.006890992885680699,0.003938802723458451
MW,0.0067023463039087,0.01297296200874584
CF,0.006689035365508424,0.0015342471002879117
BQ,0.006285284253713484,0.0003686009550726149
PG,0.005448502177529817,0.04930736698854846
SX,0.004935356937829883,0.000300465506503726
BT,0.004912001965573629,0.000364594982475005
KM,0.0038601459314432434,0.0014601536598808163
BI,0.00380678479542815,0.001280030349536513
ST,0.003683070431811971,0.0006299334325237711
BZ,0.003401480550367575,0.0043280859325900405
PM,0.0031703544575658483,0.00014544286784885012
VI,0.003152849401241044,0.0007830713080935139
ER,0.0031087961163071363,0.00013322598127822033
FK,0.0028843425137538552,0.013257728515994223
SS,0.002608163291521484,0.0013680887638927149
FJ,0.002139382860827653,0.0028541589501700102
VA,0.0017965626747075756,0.00010429692632883543
LC,0.0017229387734021102,0.00019282174335253776
SZ,0.001626009676684651,0.003256222546830399
VC,0.0015593892936075526,0.0005569845557159927
GD,0.0013647260554414176,0.00020753296156964473
GU,0.00121607648424752,3.409568935570865e-05
DM,0.0011346340287168566,0.00037586277461337916
KN,0.0011246307376865288,0.00037855925650196387
WF,0.0010235669920147276,9.47141013170744e-06
AQ,0.0009728518063773671,0.00028874047431505756
TF,0.0008704832732097948,0.0010874018483260214
SH,0.0008444714618911256,0.000158095678658913
LS,0.0007004360007452061,0.017264412234506237
BL,0.0006499765795419975,8.888330442188737e-05
TC,0.0006100253373363233,0.0002874577715355026
VU,0.0005058925979385114,6.0121276348653666e-05
TL,0.00040864348158168863,6.919729409620741e-05
PW,0.0003975333138738763,1.5374108120247166e-06
AI,0.00033540864135582325,5.147093852546237e-05
SB,0.00031660406239377554,0.004321621642521916
MP,0.0002983184907922585,1.6076066405085203e-05
TO,0.000283476675119215,6.3626740981385466e-06
KI,0.0001891494954172577,3.40989980785886e-05
TK,0.00018193903235199434,6.52835203342329e-05
KP,0.00015222034183434864,6.542172314375684e-05
WS,0.00015205850726256355,3.7192590342053113e-05
FM,0.00011094325269879312,3.3297841736638294e-06
CK,0.00010908212520929584,0.00020520832922933717
AS,9.936259808801676e-05,2.6592205786135984e-05
NR,7.514556507580989e-05,9.582570494616437e-07
MS,6.87953679283645e-05,0.00010663962938641039
PN,3.223020751911177e-05,4.534350189823084e-06
TV,2.9890994978548117e-05,1.343965056262878e-05
IO,2.080989178167515e-05,4.301269751716647e-05
GS,1.4792696936098796e-05,3.805031311939329e-08
BV,1.2427997694026656e-05,5.8571394196543e-06
NU,7.014706052738122e-06,5.797429697528483e-05
CC,6.955057598738225e-06,1.8105267969785156e-05
EH,5.673722654589989e-06,1.4471844842600016e-06
NF,2.495183974443028e-06,2.0213942512889994e-05
CX,1.3848372765653087e-06,3.627830112932308e-05
HM,9.611956489090702e-07,5.16637988917916e-06
